Seller	Price	No. of Ratings	Price difference to the lowest	Price ratio to the lowest	Average rating of the seller	Positive feedback percentage of the seller	Fulfilled by Amazon?	Is Amazon the seller?	Does is win the buy box?
Atlantic Publishers and Distributors	1376.00	14,538	0.0	1.0	4.5	94%	0	0	1
Peacockbooks	1450.00	2,801	74.0	1.0538	4.5	92%	0	0	0
Bookswagon	1610.00	6,382	234.0	1.1701	4	70%	0	0	0
Bookswagon	1611.00	6,382	235.0	1.1708	4	70%	0	0	0
Sunrise Book store	1659.00	1,358	283.0	1.2057	3.5	61%	0	0	0
Bookswagon	1666.00	6,382	290.0	1.2108	4	70%	0	0	0
Sunrise Book store	1501.00	1,358	125.0	1.0908	3.5	61%	0	0	0
Atlantic Publishers and Distributors	1711.00	14,538	335.0	1.2435	4.5	94%	0	0	1
B2A UK	1787.00	6,928	411.0	1.2987	4.5	83%	0	0	0
D R	3058.00	12,169	1682.0	2.2224	4	82%	0	0	0
Sunrise Book store	1562.00	1,358	186.0	1.1352	3.5	61%	0	0	0
Sunrise Book store	1589.00	1,358	213.0	1.1548	3.5	61%	0	0	0
Bookswagon	1855.00	6,382	479.0	1.3481	4	70%	0	0	0
Sunrise Book store	1758.00	1,358	382.0	1.2776	3.5	61%	0	0	0
