Seller	Price	No. of Ratings	Delivery	Price difference to the lowest	Price ratio to the lowest	Average rating of the seller	Positive feedback percentage of the seller	Fulfilled by Amazon?	Is Amazon the seller?	Does is win the buy box?
Appario Retail Private Ltd	899.00	302,155		109.0	1.138	4.5	93%	1	1	1
CIRCUIT BOARD	920.00	1,772		130.0	1.1646	5	100%	1	0	0
GXGW	890.00	9		100.0	1.1266	3	44%	0	0	0
Digital Xpert	985.00	1,034		195.0	1.2468	5	97%	1	0	0
Price4u	990.00	5		200.0	1.2532	3.5	60%	0	0	0
Technogazet	950.00	1,798		160.0	1.2025	4.5	93%	0	0	0
Peach Imports	3199.00	498	13-20 days	2409.0	4.0494	4.5	84%	0	0	0
Cart2India SLP	3348.00	1,333	11-19 days	2558.0	4.238	3	53%	0	0	0
Sri balaji fashion	790.00	3		0.0	1.0	1.5	0%	0	0	0
Sri balaji fashion	890.00	3		100.0	1.1266	1.5	0%	0	0	0
